,0,1
crown,0.07438753,-1.1007874
crowned,0.34772182,0.7463246
cry,-1.2581962,0.76525337
crystal,0.31421474,0.85715914
crystallize,-0.042150803,-1.115616
crystals,0.2262595,-0.88243186
cup,2.4562166,-2.6670516
cured,3.1418204,0.7099013
cursed,-1.8803167,0.19173324
curtain,11.092854,13.66519
cut,-2.3123696,0.64266425
daily,-2.17242,-1.7476711
dalla,0.46081692,-0.2000417
damnable,-1.6287695,-0.24676879
damned,-3.5035372,0.33332518
dance,-1.1497679,-4.306495
dared,1.0951349,-1.5745243
dark,0.4252454,-1.9163005
darkened,0.97862685,0.9916342
darkness,2.0268135,-0.18840781
darry,-2.6552448,2.9138665
dashed,-1.4944546,-10.403071
daughter,1.1953776,-0.66667634
daughters,-0.3820347,-1.8823446
davos,-0.28733888,-1.5594072
dawn,1.0098321,-1.0840181
day,0.2878918,-1.6534438
days,-0.21743952,0.9009283
dayshad,-0.377634,-1.3580083
dead,-1.2170991,-1.360818
deal,-1.9533142,0.12328052
dear,-3.016283,-0.030857773
death,0.23943801,-0.86383605
decided,-1.9242917,1.5963188
decision,0.39647117,-2.3023546
declared,-0.42092618,0.23947357
decreed,-1.2800657,-1.0415134
deeply,-2.4530945,-1.9345134
deer,4.1132236,-0.2802272
defense,-2.1070786,4.152956
deft,-2.8159575,1.4049746
delight,-0.27960867,0.027321484
delighted,-1.1101271,0.2740295
demanded,0.07833465,-3.054335
denied,-2.7084649,-0.03467748
deny,-2.2514734,-2.1487505
descended,0.040847357,0.20582871
descending,-0.0035400428,0.012494143
descent,1.5639255,-3.6101499
desolate,0.20259787,0.24142274
despair,-2.5084696,0.6461451
did,-2.2226477,-0.35858318
die,-3.16705,-0.23961212
died,-2.9514601,-0.7530214
different,1.185006,-1.5291623
difficult,2.9278047,6.4131885
dim,4.0892315,-6.2365336
discarded,-3.7478378,-1.0417597
disentangled,2.938973,-4.3971586
disfigurement,3.5229366,-2.327838
dismissed,-4.038963,1.0430213
dissemble,-2.778662,2.1486878
dissolved,1.2769232,-1.68868
disturb,-0.5429171,-1.3840995
disturbingly,-1.9338518,-2.423211
do,-3.006275,-0.26178244
does,-3.4165032,-0.27238113
doesnt,-1.606161,1.0724157
dogs,-0.3124298,3.3374684
doing,-3.836518,0.45616633
dondarrion,0.22399412,5.790592
done,-2.438317,-0.061085243
dong,19.426428,1.6120986
donned,0.26618862,-1.4674246
dons,0.42061594,-1.0880662
dont,-1.5002607,0.5903701
door,2.3752382,-3.29232
doors,0.24612305,-0.6134796
doublet,4.987869,1.8266165
doubt,0.42027792,0.8483149
down,0.06717312,-0.6166829
dozen,-1.2978339,-0.2119494
drag,-0.36515298,-0.8424766
dragon,-1.1522752,0.43727073
dragonmont,2.9437287,-0.37696683
dragons,-0.9360438,0.8749513
dragonshreath,-1.2032452,-0.03174221
dragonstone,-0.11240875,0.101203196
dragonstones,0.355672,4.0448384
drank,-4.371626,-1.114153
draped,2.745802,-0.675151
draught,-1.6518259,1.8129189
draw,2.9435613,3.4224634
dreadful,-2.8239198,-1.1786578
dreams,-0.024618775,-0.9092139
drinking,-3.216139,0.026768703
drivel,-0.509846,-2.9911425
drollest,0.65299857,-0.02776864
droppings,4.3241343,2.1111662
drowsily,-2.065751,-0.17453544
drum,0.7486245,2.3433266
dry,-3.311735,-2.3327305
during,13.147115,7.748871
dust,-0.40953428,0.5508045
dutiful,-1.2093841,-1.9050474
duty,-0.03729168,-0.4420038
dying,0.31933704,-2.0233734
each,1.7762376,-1.76555
early,-1.5432061,-0.46755084
earn,-1.4136134,0.3464165
ears,4.522397,-3.2079837
earshot,4.649677,2.036629
earth,0.17593513,-1.3890353
ease,0.6621552,1.10701
easily,-1.048181,-1.0933675
easy,4.070849,1.2361643
eat,-2.3462644,1.3963097
eaten,-0.93196833,-0.019239673
eddard,-3.682813,0.42612708
eightieth,0.8673028,-2.4578083
either,-0.22833857,0.7539437
elder,-1.5931203,-0.43128097
eldest,-0.33407345,0.1763472
else,-1.1169523,0.8613961
elusive,2.1475272,-0.07313644
embrace,0.8436647,0.21912664
emmon,-1.2409337,12.130155
empty,1.2711143,2.8923745
end,-0.59128356,1.6493385
ends,-0.79865843,-0.0065031843
enemies,-1.2905283,-0.31410292
enly,-2.838506,1.6756059
enough,-1.6789297,-0.32210293
enter,-2.1801784,-0.8224937
entered,-2.1045523,-2.0717108
envoy,-1.9032243,0.31804648
erect,-0.2159151,0.25983045
even,-0.2579661,-0.27620974
ever,-0.5206872,-1.9134543
every,0.8685398,-0.28298584
evil,-1.6382983,1.4747161
evoke,0.1693979,0.17296542
excuses,-4.6780386,4.7901826
explained,0.055959173,0.14635715
eyes,1.4166318,-1.1231872
eyrie,-2.054448,-2.0485864
fabrics,5.3452587,5.36827
face,1.3202009,-2.3970537
faceless,-1.2236238,0.90366745
faces,1.2598776,1.9362648
facetoface,1.4126318,-1.548988
faded,3.0183585,0.33715573
failed,-1.0947006,-0.2744335
failure,-1.752213,-4.485249
faintest,7.0767255,-2.2906876
faith,0.31249657,-0.14903714
fallen,-0.7337406,-1.6056347
falling,3.274621,-1.5379218
false,-1.7211065,-0.18689138
familiar,-0.43415618,-3.0404909
fancied,-2.4590685,-1.9193377
far,-0.8030356,0.1334005
fashion,0.5645532,0.29429114
fashioned,-0.7720325,3.0800428
fasts,1.5505385,3.047921
father,-1.0695922,-2.3347733
fathers,1.2800258,-1.5841591
favor,-1.3688062,0.12661654
favorite,-0.063948974,-2.3406732
fear,-1.3533169,0.7209098
fearful,-1.4362426,1.5674728
fears,-2.4248374,-1.7499758
fearsome,0.65133494,0.7136214
feast,-0.122673325,-1.9966304
feasted,4.1224055,2.318132
feasting,-1.2967012,0.17594129
feasts,-1.4056361,2.3852656
feathers,-2.302603,0.38952696
feeble,2.1481867,-2.234111
